BEDS Code,School Name,Local School Code
310200010896,Lower Manhattan Community Middle School,02M896
310200010933,City Knoll Middle School,02M933
310200011135,The Urban Assembly School for Emergency Management,02M135
310200011139,Stephen T. Mather Building Arts & Craftsmanship High School,02M139
310200011225,Ella Baker School,02M225
310200011280,Manhattan Early College School for Advertising,02M280
310200011282,Urban Assembly Maker Academy,02M282
310200011288,Food and Finance High School,02M288
310200011294,Essex Street Academy,02M294
310200011296,High School of Hospitality Management,02M296
310200011298,Pace High School,02M298
310200011300,"Urban Assembly School of Design and Construction, The",02M300
310200011303,"Facing History School, The",02M303
310200011305,"Urban Assembly Academy of Government and Law, The",02M305
310200011308,Lower Manhattan Arts Academy,02M308
310200011313,"James Baldwin School, The: A School for Expeditionary Learning",02M313
310200011316,"Urban Assembly School of Business for Young Women, The",02M316
310200011374,Gramercy Arts High School,02M374
310200011376,NYC iSchool,02M376
310200011392,Manhattan Business Academy,02M392
310200011393,Business of Sports School,02M393
310200011394,Emma Lazarus High School,02M394
310200011399,The High School for Language and Diplomacy,02M399
310200011400,High School for Environmental Studies,02M400
310200011407,Institute for Collaborative Education,02M407
310200011408,Professional Performing Arts High School,02M408
310200011411,Baruch College Campus High School,02M411
310200011419,Landmark High School,02M419
310200011420,High School for Health Professions and Human Services,02M420
310200011422,Quest to Learn,02M422
310200011425,Leadership and Public Service High School,02M425
310200011427,Manhattan Academy for Arts & Language,02M427
310200011432,Murray Hill Academy,02M432
310200011437,Hudson High School of Learning Technologies,02M437
310200011438,International High School at Union Square,02M438
310200011439,Manhattan Village Academy,02M439
310200011442,"Ballet Tech, NYC Public School for Dance",02M442
310200011449,Vanguard High School,02M449
310200011459,Manhattan International High School,02M459
310200011475,Stuyvesant High School,02M475
310200011489,High School of Economics and Finance,02M489
310200011500,Unity Center for Urban Technologies,02M500
310200011507,Urban Assembly Gateway School for Technology,02M507
310200011519,Talent Unlimited High School,02M519
310200011520,Murry Bergtraum High School for Business Careers,02M520
310200011529,Jacqueline Kennedy Onassis High School,02M529
310200011531,Repertory Company High School for Theatre Arts,02M531
310200011533,Union Square Academy for Health Sciences,02M533
310200011534,Harvest Collegiate High School,02M534
310200011542,Manhattan Bridges High School,02M542
310200011543,New Design High School,02M543
310200011544,Independence High School,02M544
310200011545,High School for Dual Language and Asian Studies,02M545
310200011546,Academy for Software Engineering,02M546
310200011550,Liberty High School Academy for Newcomers,02M550
310200011551,Urban Assembly New York Harbor School,02M551
310200011560,High School M560 - City As School,02M560
310200011565,Urban Academy Laboratory High School,02M565
310200011570,Satellite Academy High School,02M570
310200011575,Manhattan Comprehensive Night and Day High School,02M575
310200011580,Richard R. Green High School of Teaching,02M580
310200011586,Harvey Milk High School,02M586
310200011600,The High School of Fashion Industries,02M600
310200011605,Humanities Preparatory Academy,02M605
310200011615,Chelsea Career and Technical Education High School,02M615
310200011630,Art and Design High School,02M630
310200011655,Life Sciences Secondary School,02M655
310300010009,P.S. 009 Sarah Anderson,03M009
310300010054,J.H.S. 054 Booker T. Washington,03M054
310300010075,P.S. 075 Emily Dickinson,03M075
310300010076,P.S. 076 A. Philip Randolph,03M076
310300010084,P.S. 084 Lillian Weber,03M084
310300010087,P.S. 087 William Sherman,03M087
310300010145,"P.S. 145, The Bloomingdale School",03M145
310300010149,P.S. 149 Sojourner Truth,03M149
310300010163,P.S. 163 Alfred E. Smith,03M163
310300010165,P.S. 165 Robert E. Simon,03M165
310300010166,P.S. 166 The Richard Rodgers School of the Arts and Technology,03M166
310300010180,P.S. 180 Hugo Newman,03M180
310300010185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,03M185
310300010191,The Riverside School for Makers and Artists,03M191
310300010199,P.S. 199 Jessie Isador Straus,03M199
310300010241,STEM Institute of Manhattan,03M241
310300010242,P.S. 242 - The Young Diplomats Magnet Academy,03M242
310300010243,M.S. 243 Center School,03M243
310300010245,M.S. M245 The Computer School,03M245
310300010247,M.S. M247 Dual Language Middle School,03M247
310300010250,M.S. 250 West Side Collaborative Middle School,03M250
310300010256,Lafayette Academy,03M256
310300010258,Community Action School - MS 258,03M258
310300010333,P.S. 333 Manhattan School for Children,03M333
310300010334,The Anderson School,03M334
310300010421,West Prep Academy,03M421
310300010452,P.S. 452,03M452
310300010862,Mott Hall II,03M862
310300011291,West End Secondary School,03M291
310300011299,The Maxine Greene HS for Imaginative Inquiry,03M299
310300011307,"Urban Assembly School for Media Studies, The",03M307
310300011402,The Urban Assembly School for Green Careers,03M402
310300011403,The Global Learning Collaborative,03M403
310300011404,Innovation Diploma Plus,03M404
310300011415,Wadleigh Secondary School for the Performing & Visual Arts,03M415
310300011417,Frank McCourt High School,03M417
310300011479,Beacon High School,03M479
310300011485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485
310300011492,"High School for Law, Advocacy and Community Justice",03M492
310300011494,High School of Arts and Technology,03M494
310300011505,Edward A. Reynolds West Side High School,03M505
310300011541,Manhattan / Hunter Science High School,03M541
310300011859,Special Music School,03M859
310300011860,Frederick Douglass Academy II Secondary School,03M860
310400010007,P.S. 007 Samuel Stern,04M007
310400010012,TAG Young Scholars,04M012
310400010037,River East Elementary,04M037
310400010038,P.S. 38 Roberto Clemente,04M038
310400010057,James Weldon Johnson,04M057
310400010072,The Lexington Academy,04M072
310400010083,P.S. 083 Luis Munoz Rivera,04M083
310400010096,P.S. 096 Joseph Lanzetta,04M096
310400010102,P.S. 102 Jacques Cartier,04M102
310400010108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108
310400010112,P.S. 112 Jose Celso Barbosa,04M112
310400010146,P.S. 146 Ann M. Short,04M146
310400010155,P.S. 155 William Paca,04M155
310400010171,P.S. 171 Patrick Henry,04M171
310400010182,The Bilingual Bicultural School,04M182
310400010206,P.S. 206 Jose Celso Barbosa,04M206
310400010224,M.S. 224 Manhattan East School for Arts & Academics,04M224
310400010372,Esperanza Preparatory Academy,04M372
310400010375,Mosaic Preparatory Academy,04M375
310400010377,Renaissance School of the Arts,04M377
310400010497,Central Park East I,04M497
310400010825,Isaac Newton Middle School for Math & Science,04M825
310400010964,Central Park East II,04M964
310400011435,Manhattan Center for Science and Mathematics,04M435
310400011495,Park East High School,04M495
310400011555,Central Park East High School,04M555
310400011610,Young Women's Leadership School,04M610
310400011680,"Heritage School, The",04M680
310500010030,P.S. 030 Hernandez/Hughes,05M030
310500010036,P.S. 036 Margaret Douglas,05M036
310500010046,P.S. 046 Arthur Tappan,05M046
310500010092,P.S. 092 Mary McLeod Bethune,05M092
310500010123,P.S. 123 Mahalia Jackson,05M123
310500010125,P.S. 125 Ralph Bunche,05M125
310500010129,P.S. 129 John H. Finley,05M129
310500010133,P.S. 133 Fred R Moore,05M133
310500010154,P.S. 154 Harriet Tubman,05M154
310500010161,P.S. 161 Pedro Albizu Campos,05M161
310500010175,P.S. 175 Henry H Garnet,05M175
310500010194,P.S. 194 Countee Cullen,05M194
310500010197,P.S. 197 John B. Russwurm,05M197
310500010200,P.S. 200- The James McCune Smith School,05M200
310500010286,Urban Assembly Academy for Future Leaders,05M286
310500010318,Thurgood Marshall Academy Lower School,05M318
310500010514,New Design Middle School,05M514
310500010517,Teachers College Community School,05M517
310500011148,Eagle Academy for Young Men of Harlem,05M148
310500011157,The Urban Assembly School for Global Commerce,05M157
310500011285,Harlem Renaissance High School,05M285
310500011304,Mott Hall High School,05M304
310500011362,Columbia Secondary School,05M362
310500011369,Urban Assembly School for the Performing Arts,05M369
310500011499,Frederick Douglass Academy,05M499
310500011670,Thurgood Marshall Academy for Learning and Social Change,05M670
310500011692,"High School for Mathematics, Science and Engineering at City College",05M692
310600010004,P.S. 004 Duke Ellington,06M004
310600010005,P.S. 005 Ellen Lurie,06M005
310600010008,P.S. 008 Luis Belliard,06M008
310600010018,P.S. 018 Park Terrace,06M018
310600010028,P.S. 028 Wright Brothers,06M028
310600010048,P.S. 048 P.O. Michael J. Buczek,06M048
310600010052,J.H.S. 052 Inwood,06M052
310600010098,P.S. 098 Shorac Kappock,06M098
310600010103,Dos Puentes Elementary School,06M103
310600010115,P.S. 115 Alexander Humboldt,06M115
310600010128,P.S. 128 Audubon,06M128
310600010132,P.S. 132 Juan Pablo Duarte,06M132
310600010143,J.H.S. 143 Eleanor Roosevelt,06M143
310600010152,P.S. 152 Dyckman Valley,06M152
310600010153,P.S. 153 Adam Clayton Powell,06M153
310600010173,P.S. 173,06M173
310600010178,Professor Juan Bosch Public School,06M178
310600010187,P.S./I.S. 187 Hudson Cliffs,06M187
310600010189,P.S. 189,06M189
310600010192,P.S. 192 Jacob H. Schiff,06M192
310600010209,Hamilton Grange Middle School,06M209
310600010210,P.S./I.S. 210 - Twenty-First Century Academy for Community Leadership,06M210
310600010223,The Mott Hall School,06M223
310600010278,Paula Hedbavny School,06M278
310600010311,Amistad Dual Language School,06M311
310600010314,Muscota,06M314
310600010319,M.S. 319 - Maria Teresa,06M319
310600010322,Middle School 322,06M322
310600010324,M.S. 324 - Patria Mirabal,06M324
310600010328,Community Math & Science Prep,06M328
310600010349,Harbor Heights,06M349
310600010366,Washington Heights Academy,06M366
310600010368,Hamilton Heights School,06M368
310600010513,Castle Bridge School,06M513
310600010528,I.S. 528 Bea Fuller Rodgers School,06M528
310600011211,Inwood Early College for Health and Information Technologies,06M211
310600011293,City College Academy of the Arts,06M293
310600011346,Community Health Academy of the Heights,06M346
310600011348,Washington Heights Expeditionary Learning School,06M348
310600011423,High School for Excellence and Innovation,06M423
310600011462,The College Academy,06M462
310600011463,High School for Media and Communications,06M463
310600011467,High School for Law and Public Service,06M467
310600011468,High School for Health Careers and Sciences,06M468
310600011540,A. Philip Randolph Campus High School,06M540
310600011552,Gregorio Luperon High School for Science and Mathematics,06M552
320700010001,P.S. 001 Courtlandt School,07X001
320700010005,P.S. 5 Port Morris,07X005
320700010018,P.S. 018 John Peter Zenger,07X018
320700010025,P.S. 025 Bilingual School,07X025
320700010029,P.S./M.S. 029 Melrose School,07X029
320700010030,P.S. 030 Wilton,07X030
320700010031,P.S./M.S. 031 The William Lloyd Garrison,07X031
320700010043,P.S. 043 Jonas Bronck,07X043
320700010049,P.S. 049 Willis Avenue,07X049
320700010065,P.S. 065 Mother Hale Academy,07X065
320700010151,J.H.S. 151 Lou Gehrig,07X151
320700010154,P.S. 154 Jonathan D. Hyatt,07X154
320700010157,P.S. 157 Grove Hill,07X157
320700010161,P.S. 161 Juan Ponce De Leon School,07X161
320700010179,P.S. 179,07X179
320700010223,The Laboratory School of Finance and Technology: X223,07X223
320700010224,P.S./I.S. 224,07X224
320700010277,P.S. 277,07X277
320700010296,South Bronx Academy for Applied Media,07X296
320700010298,Academy of Public Relations,07X298
320700010343,Academy of Applied Mathematics and Technology,07X343
320700010359,Concourse Village Elementary School,07X359
320700010369,Young Leaders Elementary School,07X369
320700010584,I.S. 584,07X584
320700010666,Pre-K Center District 07,07XP07
320700011221,South Bronx Preparatory: A College Board School,07X221
320700011259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",07X259
320700011334,International Community High School,07X334
320700011379,Jill Chaifetz Transfer High School,07X379
320700011381,Bronx Haven High School,07X381
320700011427,Community School for Social Justice,07X427
320700011473,Mott Haven Village Preparatory High School,07X473
320700011495,University Heights Secondary School,07X495
320700011500,Hostos-Lincoln Academy of Science,07X500
320700011522,Bronx Design and Construction Academy,07X522
320700011527,Bronx Leadership Academy II High School,07X527
320700011548,Careers in Sports High School,07X548
320700011551,The Urban Assembly Bronx Academy of Letters,07X551
320700011557,Mott Haven Community High School,07X557
320700011600,Alfred E. Smith Career and Technical Education High School,07X600
320700011670,Health Opportunities High School,07X670
320800010014,P.S. X014 Senator John Calandra,08X014
320800010036,P.S. 036 Unionport,08X036
320800010048,P.S. 048 Joseph R. Drake,08X048
320800010062,P.S. 062 Inocensio Casanova,08X062
320800010069,P.S. 069 Journey Prep School,08X069
320800010071,P.S. 071 Rose E. Scala,08X071
320800010072,P.S. 072 Dr. William Dorney,08X072
320800010075,P.S. 75 School of Research and Discovery,08X075
320800010093,P.S. 093 Albert G. Oliver,08X093
320800010100,P.S. 100 Isaac Clason,08X100
320800010101,M.S. X101 Edward R. Byrne,08X101
320800010107,P.S. 107,08X107
320800010119,The Dr. Emmett W. Bassett School,08X119
320800010123,J.H.S. 123 James M. Kieran,08X123
320800010130,P.S. 130 Abram Stevens Hewitt,08X130
320800010131,J.H.S. 131 Albert Einstein,08X131
320800010138,P.S. 138 Samuel Randall,08X138
320800010140,P.S. X140 The Eagle School,08X140
320800010146,P.S. 146 Edward Collins,08X146
320800010152,P.S. 152 Evergreen,08X152
320800010182,P.S. 182,08X182
320800010301,M.S. 301 Paul L. Dunbar,08X301
320800010302,M.S. 302 Luisa Dessus Cruz,08X302
320800010304,P.S. 304 Early Childhood School,08X304
320800010312,Millennium Art Academy,08X312
320800010333,The Longwood Academy of Discovery,08X333
320800010337,The School for Inquiry and Social Justice,08X337
320800010371,Urban Institute of Mathematics,08X371
320800010375,The Bronx Mathematics Preparatory School,08X375
320800010392,Bronx Delta School,08X392
320800010424,The Hunts Point School,08X424
320800010448,Soundview Academy for Culture and Scholarship,08X448
320800010467,Mott Hall Community School,08X467
320800010562,Blueprint Middle School,08X562
320800010583,P.S. 583,08X583
320800011269,Bronx Studio School for Writers and Artists,08X269
320800011282,Women's Academy of Excellence,08X282
320800011293,Renaissance High School for Musical Theater & Technology,08X293
320800011320,Pelham Lab High School,08X320
320800011348,Schuylerville Preparatory High School,08X348
320800011349,Bronx River High School,08X349
320800011367,"Archimedes Academy for Math, Science and Technology Applications",08X367
320800011376,Antonia Pantoja Preparatory Academy: A College Board School,08X376
320800011377,Bronx Community High School,08X377
320800011405,Herbert H. Lehman High School,08X405
320800011432,Bronx Bridges High School,08X432
320800011452,Gotham Collaborative High School,08X452
320800011530,Longwood Preparatory Academy,08X530
320800011537,Bronx Arena High School,08X537
320800011558,Westchester Square Academy,08X558
320800011559,School for Tourism and Hospitality,08X559
320800011561,Bronx Compass High School,08X561
320900010004,P.S./M.S. 004 Crotona Park West,09X004
320900010011,P.S. 011 Highbridge,09X011
320900010022,J.H.S. 022 Jordan L. Mott,09X022
320900010028,P.S. 028 Mount Hope,09X028
320900010035,P.S. 035 Franz Siegel,09X035
320900010042,P.S. 042 Claremont,09X042
320900010053,P.S. 053 Basheer Quisim,09X053
320900010055,P.S. 055 Benjamin Franklin,09X055
320900010058,P.S. 058,09X058
320900010063,P.S. 063 Author's Academy,09X063
320900010070,P.S. 070 Max Schoenfeld,09X070
320900010073,P.S. 073 Bronx,09X073
320900010088,P.S. X088 - S. Silverstein Little Sparrow School,09X088
320900010109,P.S. 109 Sedgwick,09X109
320900010110,P.S. 110 Theodore Schoenfeld,09X110
320900010114,P.S. X114 - Luis Llorens Torres Schools,09X114
320900010117,I.S. 117 Joseph H. Wade,09X117
320900010126,P.S. 126 Dr Marjorie H Dunbar,09X126
320900010128,Mott Hall III,09X128
320900010132,P.S. 132 Garret A. Morgan,09X132
320900010163,P.S. 163 Arthur A. Schomburg,09X163
320900010170,P.S. 170,09X170
320900010199,P.S. 199X - The Shakespeare School,09X199
320900010204,P.S. 204 Morris Heights,09X204
320900010215,KAPPA,09X215
320900010218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,09X218
320900010219,I.S. 219 New Venture School,09X219
320900010229,I.S. 229 Roland Patterson,09X229
320900010232,I.S. 232,09X232
320900010236,P.S. 236 Langston Hughes,09X236
320900010274,The New American Academy at Roberto Clemente State Park,09X274
320900010294,The Walton Avenue School,09X294
320900010303,I.S. X303 Leadership & Community Service,09X303
320900010311,Lucero Elementary School,09X311
320900010313,I.S. 313 School of Leadership Development,09X313
320900010323,Bronx Writing Academy,09X323
320900010327,Comprehensive Model School Project M.S. 327,09X327
320900010328,New Millennium Bronx Academy of the Arts,09X328
320900010339,I.S. 339,09X339
320900010361,The Highbridge Green School,09X361
320900010443,The Family School,09X443
320900010449,Grant Avenue Elementary School,09X449
320900010454,Science and Technology Academy: A Mott Hall School,09X454
320900010457,Sheridan Academy for Young Leaders,09X457
320900010555,Mount Eden Children's Academy,09X555
320900010568,Young Women's Leadership School of the Bronx,09X568
320900010593,South Bronx International Middle School,09X593
320900010594,M.S. 594,09X594
320900010666,Pre-K Center District 09,09XP09
320900011227,Bronx Collegiate Academy,09X227
320900011231,Eagle Academy for Young Men,09X231
